target,class,split,count,pct,check,mean,std,min,max,median,q1,q3,missing_count,infinite_count
reaction_class,NEUTRAL,SYMBOL_BAJAJ-AUTO,27,65.85,symbol_distribution,,,,,,,,,
reaction_class,POSITIVE,SYMBOL_BAJAJ-AUTO,8,19.51,symbol_distribution,,,,,,,,,
reaction_class,NEGATIVE,SYMBOL_BAJAJFINSV,8,20.0,symbol_distribution,,,,,,,,,
reaction_class,NEUTRAL,SYMBOL_BAJAJFINSV,20,50.0,symbol_distribution,,,,,,,,,
reaction_class,POSITIVE,SYMBOL_BAJAJFINSV,12,30.0,symbol_distribution,,,,,,,,,
reaction_class,NEGATIVE,SYMBOL_BAJFINANCE,10,24.39,symbol_distribution,,,,,,,,,
reaction_class,NEUTRAL,SYMBOL_BAJFINANCE,22,53.66,symbol_distribution,,,,,,,,,
reaction_class,POSITIVE,SYMBOL_BAJFINANCE,9,21.95,symbol_distribution,,,,,,,,,
reaction_class,NEGATIVE,SYMBOL_BEL,13,31.71,symbol_distribution,,,,,,,,,
reaction_class,NEUTRAL,SYMBOL_BEL,19,46.34,symbol_distribution,,,,,,,,,
reaction_class,POSITIVE,SYMBOL_BEL,9,21.95,symbol_distribution,,,,,,,,,
reaction_class,NEGATIVE,SYMBOL_BHARTIARTL,9,21.95,symbol_distribution,,,,,,,,,
reaction_class,NEUTRAL,SYMBOL_BHARTIARTL,25,60.98,symbol_distribution,,,,,,,,,
reaction_class,POSITIVE,SYMBOL_BHARTIARTL,7,17.07,symbol_distribution,,,,,,,,,
reaction_class,NEGATIVE,SYMBOL_CIPLA,6,15.0,symbol_distribution,,,,,,,,,
reaction_class,NEUTRAL,SYMBOL_CIPLA,29,72.5,symbol_distribution,,,,,,,,,
reaction_class,POSITIVE,SYMBOL_CIPLA,5,12.5,symbol_distribution,,,,,,,,,
reaction_class,NEGATIVE,SYMBOL_COALINDIA,14,34.15,symbol_distribution,,,,,,,,,
reaction_class,NEUTRAL,SYMBOL_COALINDIA,20,48.78,symbol_distribution,,,,,,,,,
reaction_class,POSITIVE,SYMBOL_COALINDIA,7,17.07,symbol_distribution,,,,,,,,,
reaction_class,NEGATIVE,SYMBOL_DRREDDY,8,19.05,symbol_distribution,,,,,,,,,
reaction_class,NEUTRAL,SYMBOL_DRREDDY,24,57.14,symbol_distribution,,,,,,,,,
reaction_class,POSITIVE,SYMBOL_DRREDDY,10,23.81,symbol_distribution,,,,,,,,,
reaction_class,NEGATIVE,SYMBOL_EICHERMOT,6,14.63,symbol_distribution,,,,,,,,,
reaction_class,NEUTRAL,SYMBOL_EICHERMOT,22,53.66,symbol_distribution,,,,,,,,,
reaction_class,POSITIVE,SYMBOL_EICHERMOT,13,31.71,symbol_distribution,,,,,,,,,
reaction_class,NEGATIVE,SYMBOL_ETERNAL,4,30.77,symbol_distribution,,,,,,,,,
reaction_class,NEUTRAL,SYMBOL_ETERNAL,2,15.38,symbol_distribution,,,,,,,,,
reaction_class,POSITIVE,SYMBOL_ETERNAL,7,53.85,symbol_distribution,,,,,,,,,
reaction_class,NEGATIVE,SYMBOL_GRASIM,6,13.95,symbol_distribution,,,,,,,,,
reaction_class,NEUTRAL,SYMBOL_GRASIM,30,69.77,symbol_distribution,,,,,,,,,
reaction_class,POSITIVE,SYMBOL_GRASIM,7,16.28,symbol_distribution,,,,,,,,,
reaction_class,NEGATIVE,SYMBOL_HCLTECH,11,26.83,symbol_distribution,,,,,,,,,
reaction_class,NEUTRAL,SYMBOL_HCLTECH,24,58.54,symbol_distribution,,,,,,,,,
reaction_class,POSITIVE,SYMBOL_HCLTECH,6,14.63,symbol_distribution,,,,,,,,,
reaction_class,NEGATIVE,SYMBOL_HDFCBANK,4,10.26,symbol_distribution,,,,,,,,,
reaction_class,NEUTRAL,SYMBOL_HDFCBANK,32,82.05,symbol_distribution,,,,,,,,,
reaction_class,POSITIVE,SYMBOL_HDFCBANK,3,7.69,symbol_distribution,,,,,,,,,
reaction_class,NEGATIVE,SYMBOL_HDFCLIFE,3,9.38,symbol_distribution,,,,,,,,,
reaction_class,NEUTRAL,SYMBOL_HDFCLIFE,19,59.38,symbol_distribution,,,,,,,,,
reaction_class,POSITIVE,SYMBOL_HDFCLIFE,10,31.25,symbol_distribution,,,,,,,,,
reaction_class,NEGATIVE,SYMBOL_HINDALCO,8,19.51,symbol_distribution,,,,,,,,,
reaction_class,NEUTRAL,SYMBOL_HINDALCO,24,58.54,symbol_distribution,,,,,,,,,
reaction_class,POSITIVE,SYMBOL_HINDALCO,9,21.95,symbol_distribution,,,,,,,,,
reaction_class,NEGATIVE,SYMBOL_HINDUNILVR,6,16.67,symbol_distribution,,,,,,,,,
reaction_class,NEUTRAL,SYMBOL_HINDUNILVR,23,63.89,symbol_distribution,,,,,,,,,
reaction_class,POSITIVE,SYMBOL_HINDUNILVR,7,19.44,symbol_distribution,,,,,,,,,
reaction_class,NEGATIVE,SYMBOL_ICICIBANK,10,25.0,symbol_distribution,,,,,,,,,
reaction_class,NEUTRAL,SYMBOL_ICICIBANK,27,67.5,symbol_distribution,,,,,,,,,
reaction_class,POSITIVE,SYMBOL_ICICIBANK,3,7.5,symbol_distribution,,,,,,,,,
reaction_class,NEGATIVE,SYMBOL_INDIGO,11,26.83,symbol_distribution,,,,,,,,,
reaction_class,NEUTRAL,SYMBOL_INDIGO,22,53.66,symbol_distribution,,,,,,,,,
reaction_class,POSITIVE,SYMBOL_INDIGO,8,19.51,symbol_distribution,,,,,,,,,
reaction_class,NEGATIVE,SYMBOL_INFY,6,15.0,symbol_distribution,,,,,,,,,
reaction_class,NEUTRAL,SYMBOL_INFY,25,62.5,symbol_distribution,,,,,,,,,
reaction_class,POSITIVE,SYMBOL_INFY,9,22.5,symbol_distribution,,,,,,,,,
reaction_class,NEGATIVE,SYMBOL_ITC,10,24.39,symbol_distribution,,,,,,,,,
reaction_class,NEUTRAL,SYMBOL_ITC,25,60.98,symbol_distribution,,,,,,,,,
reaction_class,POSITIVE,SYMBOL_ITC,6,14.63,symbol_distribution,,,,,,,,,
reaction_class,NEGATIVE,SYMBOL_JIOFIN,3,37.5,symbol_distribution,,,,,,,,,
reaction_class,NEUTRAL,SYMBOL_JIOFIN,4,50.0,symbol_distribution,,,,,,,,,
